Link,Scenario No,Start Day,End Day,Start Time in Min,End Time in min,Toll for Demand Type 1,Toll for Demand Type 2,Toll for Demand Type 3,Toll for Demand Type 4,Toll for Demand Type 5,Toll for Demand Type 6,Toll for Demand Type 7,
"[7304,7503]",0,1,100,960,1140,0.89,0.89,0.89,0.89,0.89,0.89,0.89,
"[7304,7503]",0,1,100,540,960,0.69,0.69,0.69,0.69,0.69,0.69,0.69,
"[7304,7503]",0,1,100,1140,1440,0.28,0.28,0.28,0.28,0.28,0.28,0.28,
"[7305,7304]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7305,7304]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7305,7304]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7306,9042]",0,1,100,960,1140,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7306,9042]",0,1,100,540,960,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
"[7306,9042]",0,1,100,1140,1440,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
"[7307,7508]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7307,7508]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7307,7508]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7309,7308]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7309,7308]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7309,7308]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7310,7309]",0,1,100,960,1140,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
"[7310,7309]",0,1,100,540,960,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
"[7310,7309]",0,1,100,1140,1440,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
"[7311,7310]",0,1,100,960,1140,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
"[7311,7310]",0,1,100,540,960,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
"[7311,7310]",0,1,100,1140,1440,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
"[7312,7311]",0,1,100,960,1140,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
"[7312,7311]",0,1,100,540,960,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7312,7311]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7314,7313]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7314,7313]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7314,7313]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7315,7314]",0,1,100,960,1140,0.44,0.44,0.44,0.44,0.44,0.44,0.44,
"[7315,7314]",0,1,100,540,960,0.34,0.34,0.34,0.34,0.34,0.34,0.34,
"[7315,7314]",0,1,100,1140,1440,0.14,0.14,0.14,0.14,0.14,0.14,0.14,
"[7324,15976]",0,1,100,960,1140,0.89,0.89,0.89,0.89,0.89,0.89,0.89,
"[7324,15976]",0,1,100,540,960,0.69,0.69,0.69,0.69,0.69,0.69,0.69,
"[7324,15976]",0,1,100,1140,1440,0.28,0.28,0.28,0.28,0.28,0.28,0.28,
"[7326,7327]",0,1,100,960,1140,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7326,7327]",0,1,100,540,960,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
"[7326,7327]",0,1,100,1140,1440,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
"[7327,7328]",0,1,100,960,1140,0.36,0.36,0.36,0.36,0.36,0.36,0.36,
"[7327,7328]",0,1,100,540,960,0.28,0.28,0.28,0.28,0.28,0.28,0.28,
"[7327,7328]",0,1,100,1140,1440,0.11,0.11,0.11,0.11,0.11,0.11,0.11,
"[7328,7329]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7328,7329]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7328,7329]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7330,7331]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7330,7331]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7330,7331]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7331,7332]",0,1,100,960,1140,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
"[7331,7332]",0,1,100,540,960,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
"[7331,7332]",0,1,100,1140,1440,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
"[7332,7333]",0,1,100,960,1140,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
"[7332,7333]",0,1,100,540,960,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
"[7332,7333]",0,1,100,1140,1440,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
"[7333,7334]",0,1,100,960,1140,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
"[7333,7334]",0,1,100,540,960,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7333,7334]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
"[7335,7336]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[7335,7336]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[7335,7336]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
