from_node_id,to_node_id,day_no,start_time_in_min,end_time_in_min,sensor_type,direction,link_count,occupancy,travel_time,avg_speed
33609,33815,1,0,60,link_count,1,13,,,
33609,33815,1,60,120,link_count,1,6,,,
33609,33815,1,120,180,link_count,1,7,,,
33609,33815,1,180,240,link_count,1,10,,,
33609,33815,1,240,300,link_count,1,22,,,
33609,33815,1,300,360,link_count,1,56,,,
33609,33815,1,360,420,link_count,1,130,,,
33609,33815,1,420,480,link_count,1,220,,,
33609,33815,1,480,540,link_count,1,215,,,
33609,33815,1,540,600,link_count,1,191,,,
33609,33815,1,600,660,link_count,1,157,,,
33609,33815,1,660,720,link_count,1,156,,,
33609,33815,1,720,780,link_count,1,186,,,
33609,33815,1,780,840,link_count,1,172,,,
33609,33815,1,840,900,link_count,1,209,,,
33609,33815,1,900,960,link_count,1,279,,,
33609,33815,1,960,1020,link_count,1,338,,,
33609,33815,1,1020,1080,link_count,1,375,,,
33609,33815,1,1080,1140,link_count,1,310,,,
33609,33815,1,1140,1200,link_count,1,194,,,
33609,33815,1,1200,1260,link_count,1,150,,,
33609,33815,1,1260,1320,link_count,1,94,,,
33609,33815,1,1320,1380,link_count,1,44,,,
33609,33815,1,1380,1440,link_count,1,24,,,
33815,33609,1,0,60,link_count,1,15,,,
33815,33609,1,60,120,link_count,1,6,,,
33815,33609,1,120,180,link_count,1,5,,,
33815,33609,1,180,240,link_count,1,10,,,
33815,33609,1,240,300,link_count,1,22,,,
33815,33609,1,300,360,link_count,1,117,,,
33815,33609,1,360,420,link_count,1,261,,,
33815,33609,1,420,480,link_count,1,355,,,
33815,33609,1,480,540,link_count,1,271,,,
33815,33609,1,540,600,link_count,1,173,,,
33815,33609,1,600,660,link_count,1,163,,,
33815,33609,1,660,720,link_count,1,162,,,
33815,33609,1,720,780,link_count,1,162,,,
33815,33609,1,780,840,link_count,1,173,,,
33815,33609,1,840,900,link_count,1,193,,,
33815,33609,1,900,960,link_count,1,211,,,
33815,33609,1,960,1020,link_count,1,235,,,
33815,33609,1,1020,1080,link_count,1,225,,,
33815,33609,1,1080,1140,link_count,1,218,,,
33815,33609,1,1140,1200,link_count,1,172,,,
33815,33609,1,1200,1260,link_count,1,143,,,
33815,33609,1,1260,1320,link_count,1,80,,,
33815,33609,1,1320,1380,link_count,1,49,,,
33815,33609,1,1380,1440,link_count,1,17,,,
33096,33113,1,0,60,link_count,1,288,,,
33096,33113,1,60,120,link_count,1,152,,,
33096,33113,1,120,180,link_count,1,101,,,
33096,33113,1,180,240,link_count,1,68,,,
33096,33113,1,240,300,link_count,1,82,,,
33096,33113,1,300,360,link_count,1,211,,,
33096,33113,1,360,420,link_count,1,537,,,
33096,33113,1,420,480,link_count,1,1231,,,
33096,33113,1,480,540,link_count,1,1809,,,
33096,33113,1,540,600,link_count,1,1557,,,
33096,33113,1,600,660,link_count,1,1590,,,
33096,33113,1,660,720,link_count,1,1904,,,
33096,33113,1,720,780,link_count,1,2027,,,
33096,33113,1,780,840,link_count,1,2143,,,
33096,33113,1,840,900,link_count,1,2544,,,
33096,33113,1,900,960,link_count,1,2906,,,
33096,33113,1,960,1020,link_count,1,2933,,,
33096,33113,1,1020,1080,link_count,1,2958,,,
33096,33113,1,1080,1140,link_count,1,2868,,,
33096,33113,1,1140,1200,link_count,1,1989,,,
33096,33113,1,1200,1260,link_count,1,1501,,,
33096,33113,1,1260,1320,link_count,1,1278,,,
33096,33113,1,1320,1380,link_count,1,1015,,,
33096,33113,1,1380,1440,link_count,1,659,,,
33113,33096,1,0,60,link_count,1,151,,,
33113,33096,1,60,120,link_count,1,79,,,
33113,33096,1,120,180,link_count,1,64,,,
33113,33096,1,180,240,link_count,1,107,,,
33113,33096,1,240,300,link_count,1,300,,,
33113,33096,1,300,360,link_count,1,1432,,,
33113,33096,1,360,420,link_count,1,3069,,,
33113,33096,1,420,480,link_count,1,3439,,,
33113,33096,1,480,540,link_count,1,3404,,,
33113,33096,1,540,600,link_count,1,3076,,,
33113,33096,1,600,660,link_count,1,2156,,,
33113,33096,1,660,720,link_count,1,1837,,,
33113,33096,1,720,780,link_count,1,2018,,,
33113,33096,1,780,840,link_count,1,1857,,,
33113,33096,1,840,900,link_count,1,1831,,,
33113,33096,1,900,960,link_count,1,1789,,,
33113,33096,1,960,1020,link_count,1,1883,,,
33113,33096,1,1020,1080,link_count,1,2023,,,
33113,33096,1,1080,1140,link_count,1,1876,,,
33113,33096,1,1140,1200,link_count,1,1335,,,
33113,33096,1,1200,1260,link_count,1,999,,,
33113,33096,1,1260,1320,link_count,1,886,,,
33113,33096,1,1320,1380,link_count,1,580,,,
33113,33096,1,1380,1440,link_count,1,299,,,
14715,14193,1,0,60,link_count,1,315,,,
14715,14193,1,60,120,link_count,1,165,,,
14715,14193,1,120,180,link_count,1,113,,,
14715,14193,1,180,240,link_count,1,108,,,
14715,14193,1,240,300,link_count,1,156,,,
14715,14193,1,300,360,link_count,1,378,,,
14715,14193,1,360,420,link_count,1,1061,,,
14715,14193,1,420,480,link_count,1,1501,,,
14715,14193,1,480,540,link_count,1,1583,,,
14715,14193,1,540,600,link_count,1,1482,,,
14715,14193,1,600,660,link_count,1,1357,,,
14715,14193,1,660,720,link_count,1,1495,,,
14715,14193,1,720,780,link_count,1,1622,,,
14715,14193,1,780,840,link_count,1,1827,,,
14715,14193,1,840,900,link_count,1,2519,,,
14715,14193,1,900,960,link_count,1,3416,,,
14715,14193,1,960,1020,link_count,1,4087,,,
14715,14193,1,1020,1080,link_count,1,3989,,,
14715,14193,1,1080,1140,link_count,1,3169,,,
14715,14193,1,1140,1200,link_count,1,2224,,,
14715,14193,1,1200,1260,link_count,1,1737,,,
14715,14193,1,1260,1320,link_count,1,1374,,,
14715,14193,1,1320,1380,link_count,1,1020,,,
14715,14193,1,1380,1440,link_count,1,863,,,
14195,14711,1,0,60,link_count,1,179,,,
14195,14711,1,60,120,link_count,1,118,,,
14195,14711,1,120,180,link_count,1,146,,,
14195,14711,1,180,240,link_count,1,311,,,
14195,14711,1,240,300,link_count,1,944,,,
14195,14711,1,300,360,link_count,1,2780,,,
14195,14711,1,360,420,link_count,1,3575,,,
14195,14711,1,420,480,link_count,1,3623,,,
14195,14711,1,480,540,link_count,1,3186,,,
14195,14711,1,540,600,link_count,1,2548,,,
14195,14711,1,600,660,link_count,1,1991,,,
14195,14711,1,660,720,link_count,1,1814,,,
14195,14711,1,720,780,link_count,1,1750,,,
14195,14711,1,780,840,link_count,1,1726,,,
14195,14711,1,840,900,link_count,1,1879,,,
14195,14711,1,900,960,link_count,1,1962,,,
14195,14711,1,960,1020,link_count,1,1925,,,
14195,14711,1,1020,1080,link_count,1,1949,,,
14195,14711,1,1080,1140,link_count,1,1643,,,
14195,14711,1,1140,1200,link_count,1,1292,,,
14195,14711,1,1200,1260,link_count,1,1020,,,
14195,14711,1,1260,1320,link_count,1,837,,,
14195,14711,1,1320,1380,link_count,1,550,,,
14195,14711,1,1380,1440,link_count,1,322,,,
14723,14720,1,0,60,link_count,1,552,,,
14723,14720,1,60,120,link_count,1,294,,,
14723,14720,1,120,180,link_count,1,210,,,
14723,14720,1,180,240,link_count,1,190,,,
14723,14720,1,240,300,link_count,1,280,,,
14723,14720,1,300,360,link_count,1,802,,,
14723,14720,1,360,420,link_count,1,2162,,,
14723,14720,1,420,480,link_count,1,3651,,,
14723,14720,1,480,540,link_count,1,4378,,,
14723,14720,1,540,600,link_count,1,2907,,,
14723,14720,1,600,660,link_count,1,2369,,,
14723,14720,1,660,720,link_count,1,2559,,,
14723,14720,1,720,780,link_count,1,2651,,,
14723,14720,1,780,840,link_count,1,2998,,,
14723,14720,1,840,900,link_count,1,3986,,,
14723,14720,1,900,960,link_count,1,5002,,,
14723,14720,1,960,1020,link_count,1,5651,,,
14723,14720,1,1020,1080,link_count,1,5641,,,
14723,14720,1,1080,1140,link_count,1,5042,,,
14723,14720,1,1140,1200,link_count,1,3687,,,
14723,14720,1,1200,1260,link_count,1,2848,,,
14723,14720,1,1260,1320,link_count,1,2354,,,
14723,14720,1,1320,1380,link_count,1,1498,,,
14723,14720,1,1380,1440,link_count,1,953,,,
14724,14719,1,0,60,link_count,1,305,,,
14724,14719,1,60,120,link_count,1,186,,,
14724,14719,1,120,180,link_count,1,217,,,
14724,14719,1,180,240,link_count,1,363,,,
14724,14719,1,240,300,link_count,1,1099,,,
14724,14719,1,300,360,link_count,1,3514,,,
14724,14719,1,360,420,link_count,1,5048,,,
14724,14719,1,420,480,link_count,1,4920,,,
14724,14719,1,480,540,link_count,1,3991,,,
14724,14719,1,540,600,link_count,1,3627,,,
14724,14719,1,600,660,link_count,1,2903,,,
14724,14719,1,660,720,link_count,1,2746,,,
14724,14719,1,720,780,link_count,1,2800,,,
14724,14719,1,780,840,link_count,1,2839,,,
14724,14719,1,840,900,link_count,1,3132,,,
14724,14719,1,900,960,link_count,1,3408,,,
14724,14719,1,960,1020,link_count,1,3582,,,
14724,14719,1,1020,1080,link_count,1,4124,,,
14724,14719,1,1080,1140,link_count,1,3229,,,
14724,14719,1,1140,1200,link_count,1,2324,,,
14724,14719,1,1200,1260,link_count,1,1775,,,
14724,14719,1,1260,1320,link_count,1,1469,,,
14724,14719,1,1320,1380,link_count,1,948,,,
14724,14719,1,1380,1440,link_count,1,570,,,
15193,14635,1,0,60,link_count,1,940,,,
15193,14635,1,60,120,link_count,1,656,,,
15193,14635,1,120,180,link_count,1,453,,,
15193,14635,1,180,240,link_count,1,469,,,
15193,14635,1,240,300,link_count,1,727,,,
15193,14635,1,300,360,link_count,1,1926,,,
15193,14635,1,360,420,link_count,1,4471,,,
15193,14635,1,420,480,link_count,1,6782,,,
15193,14635,1,480,540,link_count,1,6314,,,
15193,14635,1,540,600,link_count,1,6094,,,
15193,14635,1,600,660,link_count,1,5470,,,
15193,14635,1,660,720,link_count,1,5591,,,
15193,14635,1,720,780,link_count,1,5762,,,
15193,14635,1,780,840,link_count,1,5933,,,
15193,14635,1,840,900,link_count,1,6840,,,
15193,14635,1,900,960,link_count,1,7244,,,
15193,14635,1,960,1020,link_count,1,7531,,,
15193,14635,1,1020,1080,link_count,1,7157,,,
15193,14635,1,1080,1140,link_count,1,6823,,,
15193,14635,1,1140,1200,link_count,1,6117,,,
15193,14635,1,1200,1260,link_count,1,4603,,,
15193,14635,1,1260,1320,link_count,1,3668,,,
15193,14635,1,1320,1380,link_count,1,2596,,,
15193,14635,1,1380,1440,link_count,1,2033,,,
14633,15202,1,0,60,link_count,1,731,,,
14633,15202,1,60,120,link_count,1,472,,,
14633,15202,1,120,180,link_count,1,423,,,
