from_node_id,to_node_id,day_no,starting_time_in_min,ending_time_in_min,travel_time_in_min
1186,15831,0,960,975,5.25
1186,15831,0,975,990,4.89
1198,15957,0,960,975,0.88
1198,15957,0,975,990,0.85
1198,15957,0,1005,1020,0.86
1198,15957,0,1020,1035,0.87
1198,15957,0,1065,1080,0.85
1528,1549,0,1035,1050,0.65
1529,1550,0,1020,1035,0.23
1529,1550,0,1035,1050,0.23
1529,1550,0,1050,1065,0.23
1529,1550,0,1065,1080,0.23
1529,1550,0,1080,1095,0.24
1529,1550,0,1095,1110,0.23
1529,1550,0,1110,1125,0.23
1529,1550,0,1125,1140,0.23
1529,1550,0,1140,1155,0.23
1542,1529,0,1005,1020,0.34
1542,1529,0,1020,1035,0.34
1542,1529,0,1035,1050,0.35
1542,1529,0,1050,1065,0.34
1542,1529,0,1065,1080,0.34
1542,1529,0,1080,1095,0.34
1542,1529,0,1095,1110,0.34
1542,1529,0,1110,1125,0.34
1542,1529,0,1125,1140,0.35
1542,1529,0,1140,1155,0.34
1543,1553,0,1005,1020,0.76
1543,1553,0,1020,1035,0.76
1543,1553,0,1035,1050,0.76
1543,1553,0,1050,1065,0.76
1543,1553,0,1125,1140,0.76
1544,1878,0,990,1005,0.42
1544,1878,0,1065,1080,0.43
1544,1878,0,1140,1155,0.42
1548,1543,0,1020,1035,0.13
1548,1543,0,1035,1050,0.14
1548,1543,0,1125,1140,0.13
1550,1525,0,1020,1035,0.57
1550,1525,0,1035,1050,0.58
1550,1525,0,1050,1065,0.57
1550,1525,0,1065,1080,0.57
1550,1525,0,1080,1095,0.57
1550,1525,0,1095,1110,0.57
1550,1525,0,1110,1125,0.57
1550,1525,0,1125,1140,0.57
1550,1525,0,1140,1155,0.57
1552,1542,0,990,1005,0.78
1552,1542,0,1020,1035,0.78
1552,1542,0,1035,1050,0.78
1552,1542,0,1050,1065,0.78
1552,1542,0,1065,1080,0.78
1552,1542,0,1080,1095,0.78
1552,1542,0,1095,1110,0.78
1552,1542,0,1110,1125,0.78
1552,1542,0,1125,1140,0.78
1553,1544,0,975,990,0.29
1553,1544,0,990,1005,0.30
1553,1544,0,1005,1020,0.29
1553,1544,0,1020,1035,0.29
1553,1544,0,1035,1050,0.30
1553,1544,0,1050,1065,0.29
1553,1544,0,1065,1080,0.30
1553,1544,0,1080,1095,0.29
1553,1544,0,1095,1110,0.30
1553,1544,0,1110,1125,0.30
1553,1544,0,1125,1140,0.30
1795,1820,0,975,990,0.30
1795,1820,0,990,1005,0.31
1795,1820,0,1005,1020,0.30
1795,1820,0,1020,1035,0.31
1795,1820,0,1035,1050,0.30
1795,1820,0,1050,1065,0.30
1795,1820,0,1065,1080,0.30
1795,1820,0,1095,1110,0.30
1795,1820,0,1110,1125,0.31
1795,1820,0,1125,1140,0.31
1805,1988,0,975,990,0.35
1805,1988,0,990,1005,0.36
1805,1988,0,1005,1020,0.35
1805,1988,0,1020,1035,0.35
1805,1988,0,1035,1050,0.35
1805,1988,0,1050,1065,0.37
1805,1988,0,1065,1080,0.35
1805,1988,0,1080,1095,0.36
1805,1988,0,1095,1110,0.35
1805,1988,0,1110,1125,0.36
1805,1988,0,1125,1140,0.35
1805,1988,0,1140,1155,0.35
1814,1882,0,960,975,0.46
1814,1882,0,975,990,0.48
1814,1882,0,990,1005,0.47
1814,1882,0,1005,1020,0.49
1814,1882,0,1020,1035,0.48
1814,1882,0,1035,1050,0.49
1814,1882,0,1050,1065,0.48
1814,1882,0,1065,1080,0.49
1814,1882,0,1080,1095,0.49
1814,1882,0,1095,1110,0.48
1814,1882,0,1110,1125,0.48
1814,1882,0,1125,1140,0.49
1814,1882,0,1140,1155,0.47
1819,1805,0,975,990,0.38
1819,1805,0,990,1005,0.40
1819,1805,0,1005,1020,0.40
1819,1805,0,1020,1035,0.46
1819,1805,0,1035,1050,0.43
1819,1805,0,1050,1065,0.41
1819,1805,0,1065,1080,0.43
1819,1805,0,1080,1095,0.40
1819,1805,0,1095,1110,0.39
1819,1805,0,1110,1125,0.39
1819,1805,0,1125,1140,0.44
1819,1805,0,1140,1155,0.38
1878,1881,0,1050,1065,0.89
1878,1881,0,1065,1080,0.89
1878,1881,0,1140,1155,0.89
1879,1556,0,960,975,0.35
1879,1556,0,975,990,0.36
1879,1556,0,990,1005,0.35
1879,1556,0,1005,1020,0.36
1879,1556,0,1020,1035,0.36
1879,1556,0,1035,1050,0.37
1879,1556,0,1050,1065,0.36
1879,1556,0,1065,1080,0.36
1879,1556,0,1080,1095,0.37
1879,1556,0,1095,1110,0.36
1879,1556,0,1110,1125,0.36
1879,1556,0,1125,1140,0.36
1879,1556,0,1140,1155,0.35
1882,1879,0,1020,1035,0.94
1882,1879,0,1035,1050,0.94
1882,1879,0,1050,1065,0.94
1882,1879,0,1065,1080,0.93
1882,1879,0,1080,1095,0.94
1882,1879,0,1095,1110,0.94
1882,1879,0,1110,1125,0.93
1882,1879,0,1125,1140,0.93
1882,1879,0,1140,1155,0.93
1986,1795,0,960,975,0.25
1986,1795,0,975,990,0.25
1986,1795,0,990,1005,0.26
1986,1795,0,1005,1020,0.26
