name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1,0,unknown_control,0,-76.693816,39.362160,"<Point><coordinates>-76.693816,39.362160</coordinates></Point>"
,2,0,unknown_control,0,-76.664411,39.364826,"<Point><coordinates>-76.664411,39.364826</coordinates></Point>"
,3,0,unknown_control,0,-76.654853,39.344124,"<Point><coordinates>-76.654853,39.344124</coordinates></Point>"
,4,0,unknown_control,0,-76.648449,39.352703,"<Point><coordinates>-76.648449,39.352703</coordinates></Point>"
,5,0,unknown_control,0,-76.620986,39.344092,"<Point><coordinates>-76.620986,39.344092</coordinates></Point>"
,6,0,unknown_control,0,-76.631702,39.363178,"<Point><coordinates>-76.631702,39.363178</coordinates></Point>"
,7,0,unknown_control,0,-76.636787,39.346934,"<Point><coordinates>-76.636787,39.346934</coordinates></Point>"
,8,0,unknown_control,0,-76.595692,39.365013,"<Point><coordinates>-76.595692,39.365013</coordinates></Point>"
,9,0,unknown_control,0,-76.583267,39.363121,"<Point><coordinates>-76.583267,39.363121</coordinates></Point>"
,10,0,unknown_control,0,-76.607220,39.363169,"<Point><coordinates>-76.607220,39.363169</coordinates></Point>"
,11,0,unknown_control,0,-76.607142,39.341105,"<Point><coordinates>-76.607142,39.341105</coordinates></Point>"
,12,0,unknown_control,0,-76.591927,39.337672,"<Point><coordinates>-76.591927,39.337672</coordinates></Point>"
,13,0,unknown_control,0,-76.591783,39.350841,"<Point><coordinates>-76.591783,39.350841</coordinates></Point>"
,14,0,unknown_control,0,-76.567345,39.336070,"<Point><coordinates>-76.567345,39.336070</coordinates></Point>"
,15,0,unknown_control,0,-76.575006,39.349285,"<Point><coordinates>-76.575006,39.349285</coordinates></Point>"
,16,0,unknown_control,0,-76.553811,39.348838,"<Point><coordinates>-76.553811,39.348838</coordinates></Point>"
,17,0,unknown_control,0,-76.544727,39.362302,"<Point><coordinates>-76.544727,39.362302</coordinates></Point>"
,18,0,unknown_control,0,-76.565890,39.363911,"<Point><coordinates>-76.565890,39.363911</coordinates></Point>"
,19,0,unknown_control,0,-76.693835,39.321085,"<Point><coordinates>-76.693835,39.321085</coordinates></Point>"
,20,0,unknown_control,0,-76.686939,39.333879,"<Point><coordinates>-76.686939,39.333879</coordinates></Point>"
,21,0,unknown_control,0,-76.704838,39.347930,"<Point><coordinates>-76.704838,39.347930</coordinates></Point>"
,22,0,unknown_control,0,-76.703460,39.310228,"<Point><coordinates>-76.703460,39.310228</coordinates></Point>"
,23,0,unknown_control,0,-76.665994,39.334715,"<Point><coordinates>-76.665994,39.334715</coordinates></Point>"
,24,0,unknown_control,0,-76.674464,39.348031,"<Point><coordinates>-76.674464,39.348031</coordinates></Point>"
,25,0,unknown_control,0,-76.647324,39.322587,"<Point><coordinates>-76.647324,39.322587</coordinates></Point>"
,26,0,unknown_control,0,-76.658401,39.316879,"<Point><coordinates>-76.658401,39.316879</coordinates></Point>"
,27,0,unknown_control,0,-76.670757,39.316792,"<Point><coordinates>-76.670757,39.316792</coordinates></Point>"
,28,0,unknown_control,0,-76.633831,39.332197,"<Point><coordinates>-76.633831,39.332197</coordinates></Point>"
,29,0,unknown_control,0,-76.643671,39.335583,"<Point><coordinates>-76.643671,39.335583</coordinates></Point>"
,30,0,unknown_control,0,-76.603836,39.315387,"<Point><coordinates>-76.603836,39.315387</coordinates></Point>"
,31,0,unknown_control,0,-76.601744,39.324068,"<Point><coordinates>-76.601744,39.324068</coordinates></Point>"
,32,0,unknown_control,0,-76.620585,39.328737,"<Point><coordinates>-76.620585,39.328737</coordinates></Point>"
,33,0,unknown_control,0,-76.617546,39.317531,"<Point><coordinates>-76.617546,39.317531</coordinates></Point>"
,34,0,unknown_control,0,-76.626637,39.318243,"<Point><coordinates>-76.626637,39.318243</coordinates></Point>"
,35,0,unknown_control,0,-76.583676,39.323685,"<Point><coordinates>-76.583676,39.323685</coordinates></Point>"
,36,0,unknown_control,0,-76.570762,39.319066,"<Point><coordinates>-76.570762,39.319066</coordinates></Point>"
,37,0,unknown_control,0,-76.563577,39.312931,"<Point><coordinates>-76.563577,39.312931</coordinates></Point>"
,38,0,unknown_control,0,-76.541538,39.340102,"<Point><coordinates>-76.541538,39.340102</coordinates></Point>"
,39,0,unknown_control,0,-76.556508,39.328086,"<Point><coordinates>-76.556508,39.328086</coordinates></Point>"
,40,0,unknown_control,0,-76.544127,39.320436,"<Point><coordinates>-76.544127,39.320436</coordinates></Point>"
,41,0,unknown_control,0,-76.555954,39.306509,"<Point><coordinates>-76.555954,39.306509</coordinates></Point>"
,42,0,unknown_control,0,-76.539308,39.311956,"<Point><coordinates>-76.539308,39.311956</coordinates></Point>"
,43,0,unknown_control,0,-76.700927,39.297510,"<Point><coordinates>-76.700927,39.297510</coordinates></Point>"
,44,0,unknown_control,0,-76.701526,39.286452,"<Point><coordinates>-76.701526,39.286452</coordinates></Point>"
,45,0,unknown_control,0,-76.682594,39.299569,"<Point><coordinates>-76.682594,39.299569</coordinates></Point>"
,46,0,unknown_control,0,-76.668664,39.283425,"<Point><coordinates>-76.668664,39.283425</coordinates></Point>"
,47,0,unknown_control,0,-76.681695,39.285258,"<Point><coordinates>-76.681695,39.285258</coordinates></Point>"
,48,0,unknown_control,0,-76.658000,39.301553,"<Point><coordinates>-76.658000,39.301553</coordinates></Point>"
,49,0,unknown_control,0,-76.669730,39.303746,"<Point><coordinates>-76.669730,39.303746</coordinates></Point>"
,50,0,unknown_control,0,-76.660223,39.289337,"<Point><coordinates>-76.660223,39.289337</coordinates></Point>"
,51,0,unknown_control,0,-76.656238,39.280614,"<Point><coordinates>-76.656238,39.280614</coordinates></Point>"
,52,0,unknown_control,0,-76.638118,39.313360,"<Point><coordinates>-76.638118,39.313360</coordinates></Point>"
,53,0,unknown_control,0,-76.627998,39.307048,"<Point><coordinates>-76.627998,39.307048</coordinates></Point>"
,54,0,unknown_control,0,-76.636925,39.305835,"<Point><coordinates>-76.636925,39.305835</coordinates></Point>"
,55,0,unknown_control,0,-76.647638,39.306350,"<Point><coordinates>-76.647638,39.306350</coordinates></Point>"
,56,0,unknown_control,0,-76.645108,39.298526,"<Point><coordinates>-76.645108,39.298526</coordinates></Point>"
,57,0,unknown_control,0,-76.631327,39.299467,"<Point><coordinates>-76.631327,39.299467</coordinates></Point>"
,58,0,unknown_control,0,-76.635655,39.290412,"<Point><coordinates>-76.635655,39.290412</coordinates></Point>"
,59,0,unknown_control,0,-76.646823,39.291300,"<Point><coordinates>-76.646823,39.291300</coordinates></Point>"
,60,0,unknown_control,0,-76.646696,39.284568,"<Point><coordinates>-76.646696,39.284568</coordinates></Point>"
,61,0,unknown_control,0,-76.613789,39.293426,"<Point><coordinates>-76.613789,39.293426</coordinates></Point>"
,62,0,unknown_control,0,-76.621135,39.297111,"<Point><coordinates>-76.621135,39.297111</coordinates></Point>"
,63,0,unknown_control,0,-76.610843,39.288165,"<Point><coordinates>-76.610843,39.288165</coordinates></Point>"
,64,0,unknown_control,0,-76.615905,39.289570,"<Point><coordinates>-76.615905,39.289570</coordinates></Point>"
,65,0,unknown_control,0,-76.622526,39.290281,"<Point><coordinates>-76.622526,39.290281</coordinates></Point>"
,66,0,unknown_control,0,-76.628552,39.290397,"<Point><coordinates>-76.628552,39.290397</coordinates></Point>"
,67,0,unknown_control,0,-76.619358,39.304271,"<Point><coordinates>-76.619358,39.304271</coordinates></Point>"
,68,0,unknown_control,0,-76.615160,39.281863,"<Point><coordinates>-76.615160,39.281863</coordinates></Point>"
,69,0,unknown_control,0,-76.622797,39.284322,"<Point><coordinates>-76.622797,39.284322</coordinates></Point>"
,70,0,unknown_control,0,-76.599705,39.292210,"<Point><coordinates>-76.599705,39.292210</coordinates></Point>"
,71,0,unknown_control,0,-76.605008,39.287618,"<Point><coordinates>-76.605008,39.287618</coordinates></Point>"
,72,0,unknown_control,0,-76.608213,39.295176,"<Point><coordinates>-76.608213,39.295176</coordinates></Point>"
,73,0,unknown_control,0,-76.591396,39.296501,"<Point><coordinates>-76.591396,39.296501</coordinates></Point>"
,74,0,unknown_control,0,-76.596052,39.302288,"<Point><coordinates>-76.596052,39.302288</coordinates></Point>"
,75,0,unknown_control,0,-76.584747,39.312333,"<Point><coordinates>-76.584747,39.312333</coordinates></Point>"
,76,0,unknown_control,0,-76.583694,39.306191,"<Point><coordinates>-76.583694,39.306191</coordinates></Point>"
,77,0,unknown_control,0,-76.596527,39.309092,"<Point><coordinates>-76.596527,39.309092</coordinates></Point>"
,78,0,unknown_control,0,-76.606610,39.308667,"<Point><coordinates>-76.606610,39.308667</coordinates></Point>"
,79,0,unknown_control,0,-76.605542,39.301958,"<Point><coordinates>-76.605542,39.301958</coordinates></Point>"
,80,0,unknown_control,0,-76.612275,39.301349,"<Point><coordinates>-76.612275,39.301349</coordinates></Point>"
,81,0,unknown_control,0,-76.616883,39.308855,"<Point><coordinates>-76.616883,39.308855</coordinates></Point>"
,82,0,unknown_control,0,-76.580375,39.281451,"<Point><coordinates>-76.580375,39.281451</coordinates></Point>"
,83,0,unknown_control,0,-76.581364,39.288297,"<Point><coordinates>-76.581364,39.288297</coordinates></Point>"
,84,0,unknown_control,0,-76.592317,39.289035,"<Point><coordinates>-76.592317,39.289035</coordinates></Point>"
,85,0,unknown_control,0,-76.596599,39.282952,"<Point><coordinates>-76.596599,39.282952</coordinates></Point>"
